     335 DIAZIDOTETRANITROTETRAZONONE    5C  10H   8O  14N   0    0    415 .0603]
     336 DIAZIDOTRINITRAZAHEPTANEDATH    4C   8H  12N   6O   0    0    458 .0000]
     337 DIBASIC LEAD PHTHALATE          8C   4H   6O   3PB  0    0   -292 .0000]
     338 DIBORANE                        2B   6H   0    0    0    0    179 .0158]
     339 DIBORANE                        2B   6H   0    0    0    0    354 .0000]
I    340 DIBUTYL PHTHALATE              22H  16C   4O   0    0    0   -733 .0378]
I    341 DIBUTYL PHTHALATE             575C 790H 144O   0    0    0   -754 .0378]
     342 DIBUTYL TIN MALEATE            20H  12C   4O   1SN  0    0   -931 .0528]
     343 DICYANDIAMIDE                   2C   4H   4N   0    0    0     85 .0505]
     344 DICYANO'2'BUTYNE'1,4            6C   4H   2N   0    0    0    841 .0415]
B    345 DIESEL OIL                     22H  12C   0    0    0    0   -476 .0254]
I    346 DIETHYL PHTHALATE              14H  12C   4O   0    0    0   -832 .0360]
H    347 DIETHYL TRIAMINE DETA          13H   4C   3N   0    0    0   -149 .0344]
I    348 DIETHYLENE GLYCOL DINITRATE     4C   8H   2N   7O   0    0   -520 .0497]
     349 DIETHYLENE GLYCOL MONOBUTYLETH 10C  20H   4O   0    0    0  -1055 .0000]
+    350      ERACETATE                                                         ]
     351 DIETHYLENE GLYCOL DIMETHYL      6C  14H   3O   0    0    0  -1014 .0000]
+    352      ETHER                                                             ]
     353 DIETHYLENEGLYCOL DINITRATE      4C   8H   7O   2N   0    0   -580 .0000]
     354 DIETHYLOXALATE                  6C  10H   4O   0    0    0  -1324 .0000]
     355 DIFLUOROAMINE                   2F   1H   1N   0    0    0   -600 .0000]
     356 DIFLUOROMETHYLENEBISOXYFLUORID  1C   4F   2O   0    0    0  -1121 .0433]
     357 DIHYDRONITRONITRIMINOPYRIDINE   5C   4H   4N   4O   0    0    143 .0650]
     358 DIHYDROXYGLYOXIME               2C   4H   4O   2N   0    0  -1080 .0000]
     359 DIMER ACID/EPOXOL9S NEW BINDER 95C 174H  15O   0    0    0   -500 .0343]
     360 DIMETHYL AMMON LITHIUM IODIDE   1LI  1I  10C  31H   1N   0   -463 .0000]
     361 DIMETHYL AMMON LITHIUM IODIDE   1LI  1I   6C  19H   1N   0   -473 .0000]
     362 DIMETHYL AMMON LITHIUM IODIDE   1LI  1I   4C  13H   1N   0   -477 .0000]
     363 DIMETHYLACETAMIDE               4C   9H   1O   1N   0    0   -819 .0000]
     364 DIMETHYLAMINE-BORANE ADDUCT     2C  10H   1B   1N   0    0   -516 .0000]
     365 DINITRO TOLUENE                 6H   7C   2N   4O   0    0  -8200 .0000]
     366 DINITROPHENOXY ETHANOL         98H 104C  26N  75O   0    0   -271 .0565]
     367 DINITROPROPYL ACRYLATE          8H   6C   2N   6O   0    0   -514 .0471]
I    368 DIOCTYL ADIPATE                42H  22C   4O   0    0    0   -733 .0332]
I    369 DIOCTYL AZELATE                48H  25C   4O   0    0    0   -855 .0000]
     370 DIOXANE                       442C  74H  37O   0    0    0   -935 .0000]
     371 DIPROPYLENE GLYCOL ESTER OF    63C 864H  67O   0    0    0   -893 .0000]
+    372      SEBACIC AND MALIC ACIDS                                           ]
     373 DITRISDIFLUOROAMINOMETHYLUREA   3C   2H  12F   8N   1O   0   -203 .0679]
     374 DODECAHYDRODECABORATEDIAMMINE  10B  18H   2N   0    0    0   -564 .0361]
     375 DULCITOL                        6C  14H   6O   0    0    0  -1740 .0530]
H    376 DYNAMAR 732/740               970H 549C  11N 143O   0    0  -1420 .0376]
H    377 DYNAMAR HX-730                754H 445C 244O   0    0    0  -1200 .0420]
H    378 DYNAMAR HX-743                942H 554C  80N  81O   0    0   -380 .0360]
     379 E107  (A MIXTURE)             441H 133C  52N 232O   6AL 49CL -552 .0604]
     380 EG-GAP (100-456)                3C   5H   3N   1O   0    0    250 .0467]
G    381 EG-GAP GUMSTOCK               331C 559H 106O 268N   0    0     27 .0000]
H    382 EPON 828                       24H  21C   4O   0    0    0      0 .0000]
H    383 EPOXY 201                      24H  16C   4O   0    0    0   -661 .0404]
H    384 ERL-0510                       19H  15C   1N   4O   0    0   -188 .0444]
J    385 ERYTHRITOL TETRANITRATE         4C   6H   4N  12O   0    0   -395 .0000]
     386 ESTANE                        987H 536C  12N 140O   0    0   -910 .0379]
     387 ESTANE B                       55H 302C   1N  10O   0    0   -940 .0376]
     388 ETHANE(1,1,1-TRINITRO)          2C   3H   3N   6O   0    0   -166 .0552]
     389 ETHANE(1,1-DINITRO)             2C   4H   2N   4O   0    0   -289 .0000]
     390 ETHANE(1,2-BIS DIFLUOROAMINO)G  2C   4H   4F   2N   0    0   -310 .0000]
     391 ETHANE(1,2-BIS DIFLUOROAMINO)L  2C   4H   4F   2N   0    0   -356 .0000]
     392 ETHANE(1,2-DI TETRAZOLYL)       4C   6H   8N   0    0    0    639 .0000]
     393 ETHANETHIOL                     2C   6H   1S   0    0    0   -258 .0000]
B    394 ETHANOL                         2C   6H   1O   0    0    0  -1440 .0000]
     395 ETHANOLAMINE                    2C   7H   1O   1N   0    0  -1986 .0000]
     396 ETHYL ACRYLATE                  5C   8H   2O   0    0    0   -877 .0000]
     397 ETHYL CENTRALITE               17C  20H   2N   1O   0    0   -127 .0000]
     398 ETHYL CYCLOHEXANE               8C  16H   0    0    0    0   -453 .0000]
     399 ETHYLACRYLATE ACRYLIC ACID    495C 786H 204O   0    0    0  -1087 .0000]
B    400 ETHYLENE                        2C   4H   0    0    0    0    289 .0205]
     401 ETHYLENE CARBONATE              3C   4H   3O   0    0    0  -1576 .0000]
     402 ETHYLENE DIHYDRAZINE           12H   2C   4N   0    0    0    346 .0396]
     403 ETHYLENE DINITRAMINE (EDNA)     2C   6H   4N   4O   0    0   -158 .0632]
D    404 ETHYLENE OXIDE (GAS)            2C   4H   1O   0    0    0   -286 .0000]
D    405 ETHYLENE OXIDE (LIQUID)         2C   4H   1O   0    0    0   -420 .0320]
     406 ETHYLENEBIS(AMINOGUANIDINEAZID  5C  16H  14N   0    0    0    496 .0000]
     407 ETHYLENEDIAMINE DIPERCHLORATE   2C  10H   8O   2N   2CL  0   -439 .0000]
     408 ETHYTENE VINYL ACETATE          6C  10H   2O   0    0    0  -1683 .0345]
     409 EXO-THDC (JP10,EXO             10C  16H   0    0    0    0   -185 .0336]
+    410      TETRAHYDRODICYCLOPENTADIENE)                                      ]
     411 EXO-THTC (EXO-TETRAHYDRO       15C  22H   0    0    0    0    -66 .0375]
+    412      THTRICYCLOPENTADIENE) LIQUID                                      ]
     413 F17-47   (SIEG)                10C   5O  16H   0    0    0  -1390 .0444]
     414 F1780                         160C 255H 100O   0    0    0  -1297 .0433]
     415 FAPETRIN                        6C   8H   6F   6N  10O   0   -318 .0000]
     416 FAPETRIN                        6C   8H   6F   6N  10O   0   -268 .0000]
I    417 FEFO                            6H   5C   4N  10O   2F   0   -557 .0578]
     418 FERRIC FLUORIDE                 1FE  3F   0    0    0    0  -1772 .1271]
I    419 FERRIC OXIDE (ANHYDROUS)*       3O   2FE  0    0    0    0  -1230 .1818]
I    420 FERRIC OXIDE HEMATITE           2FE  3O   0    0    0    0  -1235 .1848]
C    421 FLOROX (CLF3O)                  1O   3F   1CL  0    0    0   -371 .0686]
C    422 FLUORINE (LIQUID)               2F   0    0    0    0    0    -76 .0543]
     423 FLUORINE NITRATE                1F   1N   3O   0    0    0     31 .0000]
     424 FLUORO'2,2'DINITROETHANOL'2     2C   3H   1F   2N   5O   0   -741 .0000]
     425 FLUOROETHANE(1,1-DINITRO-1-)    2C   3H   1F   2N   4O   0   -488 .0000]
     426 FLUOROTRINITROMETHIDE           1C   1F   3N   6O   0    0   -221 .0573]
     427 FLUOROXYTRIFLUOROMETHANE        1C   4F   1O   0    0    0  -1769 .0000]
     428 FOG                           885N  14H 231O   5AR  0    0    -33 .0000]
     429 FORMAMIDE                       3H   1C   1N   1O   0    0  -1370 .0410]
     430 FREON 116  (ROGERS)             2C   6F   0    0    0    0  -2195 .0000]
     431 GAN(GUANYLAZIDE NITRATE)        1C   4H   6N   3O   0    0     35 .0542]
G    432 GAP (ARC CALC)                 60C 102H  60N  21O   0    0    309 .0470]
G    433 GAP (HEAT OF COMB DTMN)        60C 102H  60N  21O   0    0    282 .0467]
G    434 GAP GUMSTOCK                  328C 545H 102O 279N   0    0     79 .0455]
B    435 GASOLINE (LIQUID)              46H  21C   0    0    0    0   -794 .0257]
     436 GE-RTV-615/A+B                  2C   6H   1SI  1O   0    0  -1888 .0372]
     437 GENPOL A-20                    75H 555C 370O   0    0    0  -1110 .0000]
     438 GILSINITE                     866H 744C   6N   6S   0    0   -400 .0384]
     439 GLUTAMIC ACID                   5C   9H   4O   1N   0    0  -1610 .0555]
     440 GLYCIDYL AZIDE                  3C   7H   1O   3N   0    0    564 .0470]
     441 GLYCIDYL AZIDE(SMITH)           3C   5H   1O   3N   0    0    575 .0467]
     442 GLYOXAL HYDRAZINE POLYMER       2C   2H   2N   0    0    0    278 .0358]
     443 GN                              1C   6H   4N   3O   0    0   -758 .0519]
     444 GRAPHITE (NONBURNING)           1U5  0    0    0    0    0      0 .0812]
     445 GUANADINE CARBONATE             3C  10H   3O   6N   0    0  -1290 .0000]
     446 GUANIDINE                       5H   1C   3N   0    0    0   -288 .0000]
IJ   447 GUANIDINE NITRATE               6H   1C   4N   3O   0    0   -843 .0503]
     448 GUANIDINIUM NITRATE             1C   6H   3O   4N   0    0   -750 .0000]
     449 GUANIDINIUM5NITRAMINOTETRAZOLE  2C   7H   2O   9N   0    0     58 .0000]
     450 GUANIDINIUMNITRAMINOTETRAZLAT   2C   7H   9N   2O   0    0    141 .0000]
     451 GUANIDIUM BITETRAZOLE           3C   7H  11N   0    0    0    369 .0566]
     452 GUANYLAMINOTETRAZOLE NITRATE    2C   6H   8N   3O   0    0     95 .0591]
     453 GUANYLAMINOTETRAZOLE(GAT)       2C   5H   7N   0    0    0    255 .0509]
     454 GUANYLAZIDE NITRATE             1C   4H   6N   3O   0    0     26 .0000]
     455 H C BINDER (PAUL)             106H  71C   8N   0    0    0   -102 .0000]
     456 HC 434  VICTOR                 75H  50C   1O   0    0    0    134 .0000]
     457 HC434                         669C 999H   1N  13O   0    0    -16 .0327]
     458 HELIUM                          1HE  0    0    0    0    0      0 .0012]
     459 HEPTADYNE                       8H   7C   0    0    0    0  -1127 .0293]
     460 HEXACHLOROETHANE                2C   6CL  0    0    0    0   -336 .0000]
     461 HEXACYANO'3'HEXENE             12C   6H   6N   0    0    0    862 .0444]
     462 HEXACYANO'3'HEXYNE             12C   4H   6N   0    0    0   1045 .0437]
     463 HEXACYANO'3,5'OCTADIYNE        14C   4H   6N   0    0    0   1146 .0466]
     464 HEXAKIS DIFLUOROAMINO DIPROPYL  8H  12F   6N   1O   6C   0   -315 .0596]
B    465 HEXANE                         14H   6C   0    0    0    0   -464 .0235]
     466 HEXANE (2,2,5 TRIMETHYL)       20H   9C   0    0    0    0   -537 .0246]
     467 HEXANETRINITRATE                6C  11H   9O   3N   0    0   -420 .0000]
FJ   468 HEXANITROBENZENE                6C   6N  12O   0    0    0     12 .0717]
FJ   469 HEXANITROETHANE (HNE)           2C   6N  12O   0    0    0     95 .0812]
     470 HMDI                            8C  12H   2O   2N   0    0   -717 .0375]
FJ   471 HMX                             4C   8H   8N   8O   0    0     61 .0686]
     472 HOMO AZOX                       3C   5H   3N   1O   0    0    286 .0483]
G    473 HTPB (AFAPL VARIANT)          654C 988H   8N  20O   0    0    123 .0332]
G    474 HTPB (SINCLAIR)               103H  73C   1O   0    0    0     13 .0332]
G    475 HTPB/CURATIVE   (JOS)         656C 978H   5N  13O   0    0   -498 .0329]
G    476 HYCAR                         139H  70C   1O   0    0    0   -121 .0339]
G    477 HYCAT (BENNETT)                36H  29C   2FE  0    0    0     40 .0441]
G    478 HYCAT (BENNETT)                36H  29C   2FE  0    0    0     40 .0441]
     479 HYDRATED AMMONIUM PHOSPHATE     3N  18H   7O   1P   0    0  -3010 .0000]
D    480 HYDRAZINE                       4H   2N   0    0    0    0    376 .0364]
     481 HYDRAZINE AZIDE                 5H   5N   0    0    0    0    727 .0470]
     482 HYDRAZINE CYANOFORMATE          4C   5H   5N   0    0    0    579 .0462]
     483 HYDRAZINE DIBORANE              2B  10H   2N   0    0    0   -500 .0339]
     484 HYDRAZINE DIBORANE (JOS)        2B  10H   2N   0    0    0   -502 .0343]
     485 HYDRAZINE DIPERCHLORATE         6H   2N   8O   2CL  0    0   -309 .0797]
     486 HYDRAZINE HYDRATE (N2H4.H2O)    6H   2N   1O   0    0    0  -2900 .0378]
     487 HYDRAZINE NITRATE               5H   3N   3O   0    0    0   -531 .0595]
     488 HYDRAZINE NITROFORM             5H   1C   5N   6O   0    0    -95 .0676]
     489 HYDRAZINE(1,1-METHYLCYANOETHY   4C   9H   3N   0    0    0    339 .0353]
     490 HYDRAZINE(2)BORANE(8)COMPOUND   8B  28H   4N   0    0    0    -60 .0000]
     491 HYDRAZINE(3)BORANE(10)COMPOUND 10B  24H   6N   0    0    0   -108 .0000]
     492 HYDRAZINE(4)BORANE(10)COMPOUND 10B  28H   8N   0    0    0    -92 .0000]
     493 HYDRAZINIUM DIPERCHLORATE       2CL  6H   2N   8O   0    0   -296 .0361]
     494 HYDRAZINIUM NITROFORMATE(HNF)   1C   5H   5N   6O   0    0    -94 .0671]
     495 HYDRAZINIUM PERCHLORATE         1CL  5H   2N   4O   0    0   -320 .0700]
     496 HYDRAZOBISISOBUTYRONITRILE      8C  14H   4N   0    0    0    172 .0000]
     497 HYDRAZOIC ACID (GASEOUS)        1H   3N   0    0    0    0   1635 .0000]
     498 HYDRAZOTETRAZOLE'5,5            2C   4H  10N   0    0    0    804 .0000]
B    499 HYDROCARBON OIL                 1C   2H   0    0    0    0   -756 .0000]
     500 HYDROCARBON POLYMER             2H   1C   0    0    0    0   -339 .0332]
B    501 HYDROGEN (CRYOGENIC)            2H   0    0    0    0    0  -1068 .0026]
B    502 HYDROGEN (GASEOUS)              2H   0    0    0    0    0      0 .0000]
     503 HYDROGEN AZIDE                  1H   3N   0    0    0    0   1460 .0394]
     504 HYDROGEN AZIDE                  1H   3N   0    0    0    0   1630 .0000]
     505 HYDROGEN BROMIDE  (GAS)         1H   1BR  0    0    0    0   -108 .0000]
     506 HYDROGEN CYANIDE (GASEOUS)      1H   1C   1N   0    0    0    932 .0248]
     507 HYDROGEN CYANIDE (LIQUID)       1H   1C   1N   0    0    0   1154 .0325]
     508 HYDROGEN FLUORIDE               1H   1F   0    0    0    0  -3581 .0357]
     509 HYDROGEN FREE RADICAL           1H   0    0    0    0    0  52090 .0000]
C    510 HYDROGEN PEROXIDE (100 PC)      2H   2O   0    0    0    0  -1319 .0508]
C    511 HYDROGEN PEROXIDE (50 PC)     850H 572O   0    0    0    0  -1927 .0430]
C    512 HYDROGEN PEROXIDE (70 PC)     746H 579O   0    0    0    0  -1684 .0464]
C    513 HYDROGEN PEROXIDE (90 PC)     642H 586O   0    0    0    0  -1439 .0501]
C    514 HYDROGEN PEROXIDE (GASEOUS)     2H   2O   0    0    0    0   -958 .0000]
     515 HYDROGEN SULFIDE                2H   1S   0    0    0    0   -141 .0768]
G    516 HYDROGENATED HYDROXYTERMINATED 71C 120H   2O   0    0    0   -295 .0000]
+    517      /POLYBUTADIENE                                                    ]
G    518 HYDROXY TERM. POLYBUTADIENE    73C 110H   6O   0    0    0    -30 .0000]
G    519 HYDROXY TERM. POLYBUTADIENE    67C   6H   1O   4N   0    0   -116 .0000]
+    520      NITRILE                                                           ]
G    521 HYDROXYETHYL CELLULOSE         35H  22C  14O   0    0    0  -1200 .0484]
G    522 HYDROXYETHYL METHACRYLATE      10H   6C   3O   0    0    0  -1260 .0420]
     523 HYDROXYETHYLMETHACRYLATE        6C  10H   3O   0    0    0  -1153 .0000]
     524 HYDROXYL RADICAL                1H   1O   0    0    0    0    591 .0000]
     525 HYDROXYLAMINE                   3H   1N   1O   0    0    0   -793 .0000]
F    526 HYDROXYLAMMONIUM NITRATE        4H   4O   2N   0    0    0   -843 .0680]
F    527 HYDROXYLAMMONIUMPERCHLORATE     1CL  4H   1N   5O   0    0   -497 .0767]
G    528 HYDROXYTERMINAT POLYBUTADIENE 103H  73C   1O   0    0    0     13 .0332]
     529 HYLENE W  (HF ESTIMATED)       15C  22H   2N   2O   0    0   -150 .0386]
     530 IDP (B. LEE)                   38H  19C   2O   0    0    0   -908 .0312]
     531 IODIC ACID                      1H   1I   3O   0    0    0   -324 .1671]
     532 IODINE                          2I   0    0    0    0    0      0 .1780]
     533 IODINE PENTAFLUORIDE            5F   1I   0    0    0    0   -928 .1140]
     534 IODINE PENTOXIDE                5O   2I   0    0    0    0   -127 .1732]
     535 IODINE TRICHLORIDE              1I   3CL  0    0    0    0    -90 .1125]
     536 IODOFORM  (CHI3)                1H   1C   3I   0    0    0    -85 .1443]
     537 IPDI                           12C  18H   2N   2O   0    0   -501 .0384]
C    538 IRFNA 82.8AC 14NO2 2.5H2O .7HF  4F 186H 185N 536O   0    0   -541 .0567]
     539 IRON                            1FE  0    0    0    0    0      0 .2837]
I    540 IRON CARBONATE                  1FE  1C   3O   0    0    0  -1623 .1373]
I    541 IRON OXIDE                      3O   2FE  0    0    0    0  -1230 .1840]
I    542 IRON OXIDE (YELLOW)             2H   4O   2FE  0    0    0  -1490 .1318]
     543 IRON PENTACARBONYL              1FE  5C   5O   0    0    0   -958 .0000]
B    544 ISO OCTANE                     18H   8C   0    0    0    0   -470 .0000]
     545 ISOBUTYLBENZENE                10C  14H   0    0    0    0   -124 .0313]
     546 ISOBUTYLBENZENE (USE 1054)     10C  14H   0    0    0    0    -12 .0313]
     547 ISODECYL PELARGONATE           19C  38H   2O   0    0    0   -714 .0000]
B    548 ISOPROPYL ALCOHOL               3C   8H   1O   0    0    0  -1265 .0284]
     549 ISOPROPYLAMMONIUM NITRATE       3C  10H   3O   2N   0    0   -813 .0000]
B    550 JP 10 (EXO-THDC,EXO-           10C  16H   0    0    0    0   -185 .0336]
+    551      TETRAHYDRODICYCLOPENTADIENE)                                      ]
B    552 JP4 (LIQUID TURBOJET FUEL)     17H   9C   0    0    0    0   -281 .0254]
B    553 JP5 (BERT STULL)               19H  10C   0    0    0    0   -411 .0296]
B    554 JP5 (MONT STEVENS STANDARD)    19H  10C   0    0    0    0   -387 .0296]
B    555 JP5 (OLD, SEE MONT STEVENS)    16H   9C   0    0    0    0   -278 .0296]
     556 KRATON                          4H   3C   0    0    0    0  -1073 .0340]
     557 KRATON (CO-POLYMER)             6H   4C   0    0    0    0   -100 .0342]
     558 KRATON STYRENE BUTADIENE        4H   3C   0    0    0    0  -1073 .0340]
     559 LACQUER NITROCELLULOSE        600C 774H 226N 952O   0    0   -663 .0599]
     560 LAMINAC                         5C   5H   1O   0    0    0   -835 .0436]
     561 LAMINAC 4116                  555H 558C 171O   0    0    0   -574 .0000]
     562 LAURYL METHACRYLATE            32H  17C   2O   0    0    0   -700 .0314]
     563 LEAD (PURE CRYSTALINE)          1PB  0    0    0    0    0      0 .4096]
     564 LEAD 2-ETHYL HEXOATE           34H  16C   4O   1PB  0    0      0 .0000]
     565 LEAD ACETYL SALICYLATE         14H  18C   8O   1PB  0    0   -857 .0000]
     566 LEAD AZIDE                      6N   1PB  0    0    0    0    397 .0000]
     567 LEAD BETA RECORCYLATE          21H   7C   7O   1PB  0    0      0 .0000]
H    568 LEAD DIOXIDE                    2O   1PB  0    0    0    0   -276 .3384]
     569 LEAD IODATE                     1PB  2I   6O   0    0    0   -267 .1913]
     570 LEAD NITRATE (LEE)              2N   6O   1PB  0    0    0   -324 .1637]
     571 LEAD OXIDE                      1PB  1O   0    0    0    0   -235 .3440]
     572 LEAD OXIDE (LITHARGE)           1O   1PB  0    0    0    0   -235 .3440]
     573 LEAD OXIDE (MASSICOT)           1O   1PB  0    0    0    0   -235 .2888]
     574 LEAD OXIDE (MINIUM)             4O   3PB  0    0    0    0   -262 .3286]
     575 LEAD OXIDE (PLATTNERITE)        2O   1PB  0    0    0    0    -66 .3384]
     576 LEAD SALICYLATE                10H  14C   6O   1PB  0    0    -84 .0337]
     577 LEAD SALICYLATE                10H  14C   6O   1PB  0    0    -84 .0337]
     578 LEAD STYPHNATE                  1PB  6C   3H   3N   9O   0   -205 .1091]
     579 LEAD-4,4-DIACETOMIDO SALICYLAT 18C  16H   8O   2N   1PB  0   -709 .0000]
E    580 LITHIUM (PURE CRYSTALINE)       1LI  0    0    0    0    0      0 .0193]
     581 LITHIUM ALUMINUM HEXA HYDRIDE   1AL  6H   3LI  0    0    0  -1417 .0401]
F    582 LITHIUM ALUMINUM PERCHLORATE    3LI 24O   1AL  6CL  0    0   -645 .0897]
     583 LITHIUM ALUMINUM TETRA HYDRIDE  1AL  4H   1LI  0    0    0   -690 .0331]
     584 LITHIUM AMIDE*                  2H   1LI  1N   0    0    0  -1894 .0329]
     585 LITHIUM AZIDE                   1LI  3N   0    0    0    0     57 .0000]
     586 LITHIUM BERYLLIUM HYDRIDE       1BE  4H   2LI  0    0    0  -2968 .0000]
     587 LITHIUM BOROHYDRIDE             1B   4H   1LI  0    0    0  -2131 .0246]
     588 LITHIUM CARBIDE                 2LI  2C   0    0    0    0   -375 .0596]
     589 LITHIUM CARBONATE               2LI  1C   3O   0    0    0  -3900 .0762]
     590 LITHIUM CHLORIDE                1LI  1CL  0    0    0    0  -1247 .0747]
     591 LITHIUM DICYANAMIDE             2C   1LI  3N   0    0    0   -120 .0000]
     592 LITHIUM FLUORIDE                1LI  1F   0    0    0    0  -5620 .0939]
     593 LITHIUM HYDRIDE                 1H   1LI  0    0    0    0  -2726 .0296]
     594 LITHIUM HYDROXIDE               1H   1LI  1O   0    0    0  -4868 .0917]
     595 LITHIUM NITRATE                 1LI  1N   3O   0    0    0  -1670 .0859]
     596 LITHIUM NITRIDE                 3LI  1N   0    0    0    0  -1355 .0498]
F    597 LITHIUM PERCHLORATE (LICLO4)    1CL  1LI  4O   0    0    0   -854 .0877]
     598 LITHIUM PERIODATE               1LI  4O   1I   0    0    0   -490 .1520]
     599 LITHIUM PEROXIDE                2LI  2O   0    0    0    0  -3307 .0853]
H    600 LOW ACETYL CELLULOSE ACETATE  428C 572H 267O   0    0    0  -1275 .0000]
H    601 LP-205                        416C 846H  85O  87S   0    0   -720 .0408]
H    602 LP-33                         314C 655H 107O 121S   0    0   -696 .0458]
H    603 LP-33                         314C 655H 107O 121S   0    0   -696 .0458]
     604 MAGNESIUM (NON-REACTIVE)        1U3  0    0    0    0    0      0 .0628]
E    605 MAGNESIUM (PURE CRYSTALINE)     1MG  0    0    0    0    0      0 .0628]
E    606 MAGNESIUM ALUMINUM HYDRIDE      2AL  8H   1MG  0    0    0   -365 .0378]
E    607 MAGNESIUM BORIDE                2B   1MG  0    0    0    0   -478 .0970]
     608 MAGNESIUM CYANAMIDE             1MG  1C   2N   0    0    0   -937 .0000]
     609 MAGNESIUM FLUORIDE              2F   1MG  0    0    0    0  -2862 .1083]
     610 MAGNESIUM HYDRIDE               2H   1MG  0    0    0    0   -645 .0524]
     611 MAGNESIUM NITRATE               1MG  2N   6O   0    0    0  -1272 .0731]
     612 MAGNESIUM OXIDE               248MG248O   0    0    0    0  -3567 .1292]
     613 MAGNESIUM OXIDE                 1O   1MG  0    0    0    0  -3610 .1300]
     614 MAGNESIUM PERCHLORATE           8O   1MG  2CL  0    0    0   -630 .0939]
     615 MANGANESE                       1MN  0    0    0    0    0      0 .2599]
     616 MANGANESE DIOXIDE               1MN  2O   0    0    0    0  -1430 .1816]
     617 MAPO (ARC)                     18H   9C   1O   3N   1P   0   -266 .0000]
     618 MAR 658                        40C  46H   8O   0    0    0   -696 .0419]
     619 MELAMINE                        6C   6H   6N   0    0    0   -165 .0000]
     620 MERCAPTO TERM. POLYBUTADINE   669C 941H   4O   1S   0    0     47 .0000]
+    621      NITRILE                                                           ]
     622 MERCURIC FLUORIDE               2F   1HG  0    0    0    0   -398 .3216]
     623 MERCURIC OXIDE                  1O   1HG  0    0    0    0   -100 .4023]
     624 MERCUROUS AZIDE                 2HG  6N   0    0    0    0    292 .0000]
     625 MERCURY (LIQUID)                1HG  0    0    0    0    0      0 .4873]
B    626 METHANE                         1C   4H   0    0    0    0  -1271 .0153]
B    627 METHANOL                        4H   1C   1O   0    0    0  -1780 .0287]
     628 METHOXY-DI-(BATOXYDIETHYLENE   52C 111H  16O   0    0    0  -1229 .0000]
+    629      GLYCOL)                                                           ]
     630 METHOXYAMINE                    1C   5H   1N   1O   0    0   -276 .0000]
     631 METHYL ACRYLATE (LIQ.)  -HC-    6H   4C   2O   0    0    0   -954 .0384]
     632 METHYL ALCOHOL                  4H   1C   1O   0    0    0  -1781 .0285]
     633 METHYL AMMONIA                  5H   1C   1N   0    0    0   -216 .0236]
     634 METHYL NAPTHALENE (1-)         10H  11C   0    0    0    0      9 .0370]
     635 METHYLIN-TETRALIN  (70-30)    106H 107C   0    0    0    0      2 .0365]
     636 METHYLNITROACETATE              3C   5H   1N   4O   0    0   -922 .0000]
BD   637 MIXED HYDRAZINE FUEL 3        647H  93C 231N   0    0    0    297 .0323]
BD   638 MIXED HYDRAZINE FUEL 5        114H  12C  46N   6O   0    0    149 .0361]
C    639 MIXED OXIDES OF NITROGEN       63N 101O   0    0    0    0     43 .0520]
     640 MNA                             7C   8H   2N   2O   0    0    -49 .0433]
     641 MOLYBDENUM CARBONYL JAX78/5168  1MO  6C   6O   0    0    0   -889 .0000]
     642 MOLYBDENUM TRIOXIDE             1MO  3O   0    0    0    0  -1253 .0000]
C    643 MON 25'75                     175N 325O   0    0    0    0     69 .0498]
     644 MONOBASIC AMMONIUM PHOSPHATE    1N   6H   1P   4O   0    0  -3020 .0651]
     645 MONOBASIC CUPRIC RESORCYLATE   14C  10H   9O   2CU  0    0  -2782 .0000]
     646 MONOBASIC CUPRIC SALICYLATE    14C  10H   7O   2CU  0    0   -700 .0000]
     647 MONOBASIC LEAD RESORCYLATE     14C  10H   9O   2PB  0    0  -1900 .0000]
     648 MONOBASIC LEAD SALICYLAT       14C  10H   9O   2PB  0    0   -332 .0000]
BD   649 MONOMETHYL HYDRAZINE (MMH)      6H   1C   2N   0    0    0    276 .0316]
     650 MONOMETHYLHYDRAZINE NITRATE     1C   7H   3O   3N   0    0   -565 .0000]
     651 N P AMINE                       7H   6C   1N   0    0    0  -1287 .0329]
     652 N,N DINITROSOPENTAMETHYLENETET  5C  10H   6N   2O   0    0    269 .0545]
+    653      RAMINE                                                            ]
     654 N,N,N'-TRIFLUOROHEXANEAMIDINE   6C  11H   2N   3F   0    0   -307 .0000]
     655 N,N-DINITRO-N-BUTYLAMINE (DNBA  4C   9H   3N   4O   0    0    -13 .0433]
     656 N-100                           3C   5H   1O   3N   0    0    576 .0470]
     657 N-AMYL ALCOHOL                  5C  12H   1O   0    0    0   -922 .0509]
     658 N-BUTANE  (GAS)                10H   4C   0    0    0    0   -513 .0000]
     659 N-BUTYL ACRYLATE                7C  12H   2O   0    0    0   -799 .0000]
     660 N-BUTYL BENZENE  (BENSON)      10C  14H   0    0    0    0   -119 .0313]
     661 N-BUTYL BENZENE  (LANGE)       10C  14H   0    0    0    0   -139 .0313]
     662 N-BUTYL FERROCENE              18H  14C   1FE  0    0    0     10 .0430]
     663 N-FLUORO-N-BUTYLNITRAMINE       4C   9H   2O   2N   1F   0   -288 .0000]
     664 N-FLUORO-SEC-BUTYLNITRAMINE     4C   9H   2O   2N   1F   0   -279 .0000]
     665 N-FLUORO-TERT-BUTYLNITRAMINE    4C   9H   2O   2N   1F   0   -225 .0000]
     666 N-PHENYLMORPHOLINE             13H  10C   1N   1O   0    0   -123 .0409]
